trip\01\00009.wav=Adam, @20356
trip\05\02349.wav=What?  Hey, no, there's nothing... @338496
trip\05\02350.wav=you keep, um... @338740
trip\05\02351.wav=no I don't no no, everything's okay... @338976
trip\05\02353.wav=What?  Hey, no, there's nothing... @339500
trip\05\02354.wav=you, you keep... @339744
trip\05\02355.wav=uhh, no, everything's okay, seriously...! @339980
trip\05\02356.wav=Yeah, yeah, good, we're -- we're friends...@340312
trip\05\02357.wav=Yeah, right, good, yeah, we're -- we're friends... hmm...@340664
trip\05\02358.wav=God, what is it with you and divorce tonight?  What's the deal?@341136
trip\05\02359.wav=Oh please, I don't believe that for a second.@341580
trip\05\02360.wav=What?  The garbage?@341880
trip\05\02361.wav=Yeah.@342040
trip\05\02362.wav=What?  Dry cleaning?@342172
trip\05\02363.wav=Yeah.@342336
trip\05\02364.wav=What?  Cleaning woman?@342480
trip\05\02365.wav=Y -- Yeah.@342656
trip\05\02366.wav=Uhh, @342776
trip\05\02367.wav=come on, what are you bringing this up again for?  @342980
trip\05\02368.wav=Heh heh, the last time the topic of infidelity came up at a party, two of our friends ended up divorced, heh heh. @343540
trip\05\02369.wav=It's a, it's best not to go there... heh heh!@344164
trip\05\02370.wav=See -- see, Grace, people can't help noticing our wedding picture! @344568
trip\05\02371.wav=Grace, I happen to think we look very happy in this picture, alright?  @345080
trip\05\02372.wav=Okay.@345452
trip\05\02373.wav=See Grace, people can't stop talking about your decorating!@345696
trip\05\02374.wav=Okay... shh...@346024
trip\05\02375.wav=Yeah, yeah, I've, I've got to tell you about Italy!@346272
trip\05\02376.wav=Dammit Grace, would it kill you to be positive for once?  God.  @346724
trip\05\02377.wav=More like obsessed...@347104
trip\05\02378.wav=But in a good way!@347316
trip\05\02379.wav=Oh, w -- well, speaking of our work project, um, I -- I'll have to tell you about my trip to Barcelona that landed the contract.@826008
trip\05\02380.wav=Oh, w -- well, speaking of our work project, um, I -- I'll have to tell you about my trip to Barcelona that landed the contract.@826008
trip\05\02381.wav=skipped
trip\05\02382.wav=That's an odd thing to say for someone who claims to like art, heh heh.@792300
trip\05\02383.wav=Jesus, Grace, it was a gift, and an expensive one at that!@792828
trip\05\02384.wav=Yes, I'll get rid of it.@793196
trip\05\02385.wav=Yeah, hang on, ooh, I'm going to make you one of my fabulous drinks in just a minute, heh!@793576
trip\05\02386.wav=What?  It's a hilarious little bar toy.@794116
trip\05\02387.wav=Ah, yeah, this view cost us a pretty penny, I'll tell you that.@794492
trip\05\02388.wav=Ah...  ha ha... ah... you're... you're...@794860
trip\05\02389.wav=Uh...  ha ha ha... uh... you... you're really...@795156
trip\05\02390.wav=No no no, Grace, ha ha, he's having a bit of fun with us tonight, that's all...@795596
trip\05\02391.wav=No no no, Grace, ha ha, she's having a bit of fun with us tonight, that's all...@796164
trip\05\02392.wav=No no no, Grace, no no, he's just... testing us tonight, I think, it's funny...@796732
trip\05\02393.wav=No no no, Grace, no no, she's just... testing us tonight, I think, it's funny...@797300
trip\05\02394.wav=Uh...@671356
trip\05\02395.wav=Um...@671460
trip\05\02396.wav=uh...@671560
trip\05\02397.wav=uh...@671660
trip\05\02398.wav=uh... uh...@671764
trip\05\02399.wav=uh...@671888
trip\05\02400.wav=uh...@671988
trip\05\02401.wav=uhh...@672088
trip\05\02402.wav=um...@672196
trip\05\02403.wav=you...@672300
trip\05\02404.wav=that's... uh...@672420
trip\05\02405.wav=we...@672564
trip\05\02406.wav=uh, we're...@672676
trip\05\02407.wav=I'm...@672808
trip\05\02408.wav=what...@672920
trip\05\02409.wav=this...@673036
trip\05\02410.wav=uh, but...@673156
trip\05\02411.wav=isn't...@673292
trip\05\02412.wav=wasn't...@673424
trip\05\02413.wav=that was...@673560
trip\05\02414.wav=you're...@673692
trip\05\02415.wav=I don't...@673824
trip\05\02416.wav=why is...@673956
trip\05\02417.wav=shouldn't...@674092
trip\05\02418.wav=You...@674232
trip\05\02419.wav=You're...@674352
trip\05\02420.wav=You said...@674492
trip\05\02421.wav=That's really...@674652
trip\05\02422.wav=How...@674804
trip\05\02423.wav=How can you...@674936
trip\05\02424.wav=Why...@675084
trip\05\02425.wav=You're being...@675216
trip\05\02426.wav=Could you...@675380
trip\05\02427.wav=What did you...@675544
trip\05\02428.wav=We're...@675700
trip\05\02429.wav=Let's get the um... the um...@675868
trip\05\02430.wav=We need to um... uh...@676100
trip\05\02431.wav=You know uh, we -- we really should... uh...@676332
trip\05\02432.wav=W -- what -- what we really need to do... um...@676672
trip\05\02433.wav=The thing is, we've really, uh, got to... um...@677020
trip\05\02434.wav=It's -- it's really time that we... um...@677364
trip\05\02435.wav=It just occurred to me... uh...@677660
trip\05\02436.wav=Before we forget... um...@677912
trip\05\02437.wav=The thing we've got to do, uh, is, uh...@678160
trip\05\02438.wav=We need to call the...@678444
trip\05\02439.wav=We've got to ask the...@678660
trip\05\02440.wav=We've got to remind the, uh...@678896
trip\05\02441.wav=We need to send a letter to the...@679168
trip\05\02442.wav=We should ... we should be sure to talk to...@679468
trip\05\02443.wav=the real estate agent...@679792
trip\05\02444.wav=the doorman...@680004
trip\05\02445.wav=the shoe repair guy...@680188
trip\05\02446.wav=the... our... uh, tax attorney...@680412
trip\05\02447.wav=the guy that fixed our toilet...@680704
trip\05\02448.wav=that woman with all the clocks...@680992
trip\05\02449.wav=that lady who, uh, brings us fresh herbs...@681288
trip\05\02450.wav=that guy we met in the elevator...@681624
trip\05\02451.wav=the kid who carried our bed up here...@681924
trip\05\02452.wav=the coffee guy...@682192
trip\05\02453.wav=the guy who, uh, sells that... soap...@682408
trip\05\02454.wav=the woman who makes that pasta...@682724
trip\05\02455.wav=Oh, yeah, yeah...!@682960
trip\05\02456.wav=Oh, right! Right!  Yeah...@683152
trip\05\02457.wav=Ah, yes, right!  Yeah...@683376
trip\05\02458.wav=Oh good idea, yeah, yeah...@683604
trip\05\02459.wav=Right! Oh, yeah, uh huh, mmm, yeah...@683844
trip\05\02460.wav=yeah...@684076
trip\05\02461.wav=yeah...@684188
trip\05\02462.wav=yeah...@684300
trip\05\02463.wav=Yeah...@684420
trip\05\02464.wav=Right...@684544
trip\05\02465.wav=Yeah, yeah...@684676
trip\05\02466.wav=Right, yeah...@684832
trip\05\02467.wav=Yes, yeah...@684992
trip\05\02468.wav=it needs to be reconnected or something...@685232
trip\05\02469.wav=we need to uh, drain it out, I think...@685556
trip\05\02470.wav=we should get that looked at...@685864
trip\05\02471.wav=it needs a new th -- th -- thingamabob...@686172
trip\05\02472.wav=we need to remember to return that...@686508
trip\05\02473.wav=it needs to be aired out again...@686816
trip\05\02474.wav=we really should finish painting that...@687120
trip\05\02475.wav=Jesus, @687376
trip\05\02476.wav=are you trying to leave again?@687552
trip\05\02477.wav=Jesus, @687768
trip\05\02478.wav=you're thinking of leaving again?@687948
trip\05\02479.wav=Look, just come away from the door, it's making us paranoid.@688312
trip\05\02480.wav=Look, just come away from the door, it's making me nervous.@688772
trip\05\02481.wav=Okay, Jesus... @689116
trip\05\02482.wav=Okay, God... @689276
trip\05\02483.wav=Jesus, @689424
trip\05\02484.wav=are you trying to leave the room again?@689620
trip\05\02485.wav=Jesus, @689872
trip\05\02486.wav=you're thinking of leaving the room again?@690073
trip\05\02487.wav=Look, just come back to the living room, quit screwing around.@690460
trip\05\02488.wav=Look, just come back to the living room, quit messing around.@690928
trip\05\02489.wav=come on, we really just want you to come back in here!@691380
trip\05\02490.wav=come on already, just come back in here!@691772
trip\05\02491.wav=are you okay, you're acting weird again, you haven't said a word in a long time.@692192
trip\05\02492.wav=are you okay, you're acting weird again, I haven't heard a word from you in a long time.@692784
trip\05\02493.wav=are you okay, you're acting weird again, you haven't moved at all in a long time.@693404
trip\05\02494.wav=are you okay, you're acting weird again, you've been completely still for a long time.@694008
trip\05\02495.wav=are you okay, you're acting weird again, what's the deal tonight?@694580
trip\05\02496.wav=are you okay, you're acting weird again, what's going on with you tonight?@695088
trip\05\02497.wav=are you okay, you're acting weird again, you're all fidgety.@695600
trip\05\02498.wav=are you okay, you're acting weird again, you're constantly moving.@696076
trip\05\02499.wav=What is with you tonight?@696476
trip\05\02500.wav=I don't know what's going on with you tonight!@696756
trip\06\02501.wav=Jesus Christ, say something!@697080
trip\06\02502.wav=Jesus Christ, just move or something!@697360
trip\06\02503.wav=Jesus Christ, just stand still for a second!@697712
trip\06\02504.wav=Okay, Jesus, you're alright... @698028
trip\06\02505.wav=Okay, God, you're alright... @698284
trip\06\02506.wav=Jesus...!  Look I'm going to leave you two alone to keep praising each other.  Excuse me.@698676
trip\06\02507.wav=No, no, don't let me interrupt.  I'm just going to the kitchen.@699264
trip\06\02508.wav=Grace, sweetie, wait --@699636
trip\06\02509.wav=Grace...@699816
trip\06\02510.wav=Grace, where are you going?@699976
trip\06\02511.wav=God, where is this coming from?!@700232
trip\06\02512.wav=Well, I'm not going to stand here and listen to this.@700576
trip\06\02513.wav=Just stay with our guest.  I'll be in the kitchen.@700980
trip\06\02514.wav=My god, what is going on with you two tonight?@701372
trip\06\02515.wav=Oh no, don't let me get in the way, I'll leave you two to continue.@701800
trip\06\02516.wav=Oh don't mind me, I'll just be in the kitchen...@702256
trip\06\02517.wav=What? Grace, sweetie --@702568
trip\06\02518.wav=He's just kidding around!@702792
trip\06\02519.wav=She's just kidding around!@703028
trip\06\02520.wav=dammit, quit trying to pacify us, it's really pissing me off!@703364
trip\06\02521.wav=Uhh...@703688
trip\06\02522.wav=I'm just going to get something from the kitchen.@703904
trip\06\02523.wav=Grace!  Hey...!@704192
trip\06\02524.wav=Grace, where are you going?@704380
trip\06\02525.wav=what are you trying to say, something's wrong?  Something's wrong here?@704716
trip\06\02526.wav=Grace, what are you --@705116
trip\06\02527.wav=What?  Where are you going?@705332
trip\06\02528.wav=Grace, what are you --@705556
trip\06\02529.wav=What?  Where are you going?@705772
trip\06\02530.wav=Okay, you know what, I'm getting tired of talking about this...@706096
trip\06\02531.wav=No you two stay here and keep chatting about whatever, I need a break...@706584
trip\06\02532.wav=I'm just going to get something from the kitchen.@707064
trip\06\02533.wav=Grace, what are you --@707376
trip\06\02534.wav=What?  Where are you going?@707592
trip\06\02535.wav=Goddamn, what you are you hinting at?  I'm getting really sick of it.@707936
trip\06\02536.wav=Look I'll leave you two to keep chatting about love and marriage and all that good shit. @708496
trip\06\02537.wav=I'm just going to get something from the kitchen.@709044
trip\06\02538.wav=Oh, God, you're planning to leave again?@715612
trip\06\02539.wav=Oh, Jesus, you want to leave again?@715940
trip\06\02540.wav=Oh, Jesus, @716180
trip\06\02541.wav=this is the third time you're acting really weird!@716408
trip\06\02542.wav=Oh, God, @716700
trip\06\02543.wav=this is the third time you're acting really weird!@716920
trip\06\02544.wav=Hey, what's going on in there?@709376
trip\06\02545.wav=Grace, what's going on in there?@709640
trip\06\02546.wav=What's wrong?@709872
trip\06\02547.wav=What's going on?@710036
trip\06\02548.wav=Okay, @710188
trip\06\02549.wav=you know what?  I think you should leave.@710360
trip\06\02550.wav=Alright, @710620
trip\06\02551.wav=that's it, you've got to leave.@710800
trip\06\02552.wav=You know what, @711028
trip\06\02553.wav=that's it, you need to leave.@711228
trip\06\02554.wav=Okay, @711432
trip\06\02555.wav=I think this evening is over, you've got to leave.@711632
trip\06\02556.wav=come on, you've got to go.@711968
trip\06\02557.wav=Jesus, we've had enough, you've got to go.@712244
trip\06\02558.wav=we're through messing around, you've got to go.@712580
trip\06\02559.wav=I'm sorry, but, uhh, I don't know what the deal is with you tonight.@712992
trip\06\02560.wav=There's only so much you can expect to put up with, you know?@713492
trip\06\02561.wav=We invited you over, but this is just not working out.@713944
trip\06\02562.wav=We can put up with a lot, but we have our limits, you know?@714380
trip\06\02563.wav=We'll be fine -- you should just go.@714768
trip\06\02564.wav=We'll be fine -- you just have to go.@715068
trip\06\02565.wav=We'll be fine -- just go.@715348
trip\06\02566.wav=Yeah, yeah...@717220
trip\06\02567.wav=Yeah, yeah. @717372
trip\06\02568.wav=Yeah. @717512
trip\06\02569.wav=Yeah, yeah! @717636
trip\06\02570.wav=Ha ha, yeah! @717784
trip\06\02571.wav=Yeah! @717928
trip\06\02572.wav=Hmm... @718032
trip\06\02573.wav=Oh, okay...  @718152
trip\06\02574.wav=You don't agree... @718316
trip\06\02575.wav=What...?  uhh...@718484
trip\06\02576.wav=Okay...  uhh...@718640
trip\06\02577.wav=If that's how you feel...  uhh...@718828
trip\06\02578.wav=uh, well... uh...@719056
trip\06\02579.wav=uh... @719204
trip\06\02580.wav=um... @719312
trip\06\02581.wav=Mmm... @719420
trip\06\02582.wav=Mmm... @719532
trip\06\02583.wav=Mmm... hmm...@719648
trip\06\02584.wav=um... @719784
trip\06\02585.wav=um... @719892
trip\06\02586.wav=uh... @719996
trip\06\02587.wav=uh... @720100
trip\06\02588.wav=Huh... well, yeah, hold on, um...  @720252
trip\06\02589.wav=Uh, mmm, well, hold -- hold on.  @720524
trip\06\02590.wav=Mmm... well, hold on.   @720772
trip\06\02591.wav=Um, well, hold on, I was going to say...  @721028
trip\06\02592.wav=Mmm... well hold on a sec...  @721328
trip\06\02593.wav=Um, well, hold on, hold on... @721584
trip\06\02594.wav=Hold on, let me finish.  @721840
trip\06\02595.wav=Well, wait, wait.  I was trying to say...  @722096
trip\06\02596.wav=Okay, well hold on -- hold on a second.  @722436
trip\06\02597.wav=Can I finish?  @722712
trip\06\02598.wav=Wait, let -- let me finish, alright? @722932
trip\06\02599.wav=Okay...  well...  @723180
trip\06\02600.wav=Oh, hmm... well, uh, ah, hold on... @723376
trip\06\02601.wav=Well h -- h -- hold on, hold on... @723656
trip\06\02602.wav=Oh, well, uh, eh, uh, hold on... @723920
trip\06\02603.wav=Oh, hmm... well, uh, hold -- hold on... @724184
trip\06\02604.wav=Well, h -- hold on, hold on... @724476
trip\06\02605.wav=Oh, well, hold on... @724712
trip\06\02606.wav=Oh, hmm... well, hold on... @724912
trip\06\02607.wav=Well, uh, h -- hold on, hold on... @725160
trip\06\02608.wav=Oh, well, h -- hold on... @725416
trip\06\02609.wav=I think you're trying to get on Grace's good side tonight.@725732
trip\06\02610.wav=Oh that's nice Grace, our friend seems happy to see you again after so long.@726224
trip\06\02612.wav=That's a nice thing to say, I'm sure Grace appreciates that.@726752
trip\06\02613.wav=Oh, that's nice of you to say.  Grace, aren't you glad we invited him over?@727252
trip\06\02614.wav=Oh, that's nice of you to say.  Grace, aren't you glad we invited her over?@727808
trip\06\02615.wav=Oh, um...@728196
trip\06\02616.wav=Oh, uh...@728316
trip\06\02617.wav=Oh! Ha ha, ha ha, yeah -- @728456
trip\06\02618.wav=Ha ha,@728644
trip\06\02619.wav=Heh, oh, well --@728764
trip\06\02620.wav=that's why we like you, you're not afraid to give us shit...@729052
trip\06\02621.wav=Grace, it's fine, you know how our friend can sometimes like to tease,  that's all.@729560
trip\06\02622.wav=What?!@729980
trip\06\02623.wav=We need drinks.@730112
trip\06\02624.wav=We're so ready for a second round of drinks.@730360
trip\06\02625.wav=What...?  @730624
trip\06\02627.wav=Heh.  Good one man, good one.@730900
trip\06\02628.wav=Heh, uh, good one, good one.@731148
trip\06\02629.wav=Okay, come on, let's keep it clean tonight, alright? @731456
trip\06\02630.wav=No no no, let's not -- let's not do that tonight.  Please.@731876
trip\06\02631.wav=Heh, alright, alright, break it up, break it up.@732284
trip\06\02632.wav=Okay, okay, that's enough... let's not go there.@732656
trip\06\02633.wav=if I didn't know better, I'd say you were flirting with me.@733052
trip\06\02634.wav=Oh,@733368
trip\06\02635.wav=heh heh, I think you're flirting with me.@733532
trip\06\02636.wav=you are such the flirt tonight!@733856
trip\06\02637.wav=flirting with me will only make it harder to let you leave tonight.@734216
trip\06\02638.wav=Flirting with me isn't exactly the way to get on my good side tonight.@734744
trip\06\02639.wav=Are you flirting with me to be funny?@735192
trip\06\02640.wav=Ha ha ha, good one, good one, I almost took you seriously for a sec there.@735608
trip\06\02641.wav=Oh, man, ha ha, you weirded me out for a second there, heh heh.@736124
trip\06\02642.wav=Oh, well that was nice, I'm sure Grace appreciates that.@736596
trip\06\02643.wav=Oh, that's nice of you.  Grace, aren't you glad we invited him over?@737056
trip\06\02644.wav=Oh, that's nice of you.  Grace, aren't you glad we invited her over?@737560
trip\06\02645.wav=Oh, heh, you're hugging me...@737948
trip\06\02646.wav=Oh, uh, heh, you're hugging me...@738184
trip\06\02647.wav=Oh, uh, thanks -- thanks for the hug...@738460
trip\06\02648.wav=Oh, thanks, uh, for the hug...@738744
trip\06\02649.wav=Oh, uh, @738948
trip\06\02650.wav=thanks...@739072
trip\06\02651.wav=Oh, @739188
trip\06\02652.wav=uh, thanks...@739300
trip\06\02653.wav=Oh, uh, @739436
trip\06\02654.wav=that was nice of you...@739596
trip\06\02655.wav=Oh, @739768
trip\06\02656.wav=uh, that was nice of you...@739916
trip\06\02669.wav=What?  No no, everything's fine, we're fine... @740204
trip\06\02670.wav=Huh?  No no, we're fine, everything's fine... @740564
trip\06\02671.wav=What?  No, no, no I'm good, we're good, e -- everything's good... @740960
trip\06\02672.wav=Huh?  No no no, we're good, no no, I'm good, everything's good... @741440
trip\06\02673.wav=What?  N - n - no no, I -- I'm good, w -- we're good, e - e - everything's good... @741928
trip\06\02674.wav=Huh?  No, we're good, I -- I'm good, e - everything's good... @742452
trip\06\02675.wav=Some days you're the dog, some days you're the hydrant.@742904
trip\06\02676.wav=I should let you know, I don't necessarily agree with everything I say.@743368
trip\06\02677.wav=I should warn you, I never know how much of what I say is true.@743864
trip\06\02678.wav=One good thing about being wrong is the joy it brings to Grace.@744336
trip\06\02679.wav=Women like silent men. They think they're listening.@744792
trip\06\02680.wav=There are two theories about arguing with women. Neither one works.@745240
trip\06\02681.wav=Oh, well, ha, you know what they say...@745648
trip\06\02682.wav=Love is blind.  Marriage is the eye opener.  Heh heh.@745988
trip\06\02683.wav=If variety is the spice of life, marriage is the big can of leftover Spam.@746468
trip\06\02684.wav=If it weren't for marriage, men and women would have to fight with total strangers.@747052
trip\06\02685.wav=Marriage is a wonderful institution, but who wants to live in an institution? @747680
trip\06\02686.wav=If love is the answer, could you rephrase the question?  @748200
trip\06\02687.wav=Heh heh, heh heh.@748520
trip\06\02688.wav=Just kidding. @748696
trip\06\02689.wav=Oh, well, heh, you know what they say...@748892
trip\06\02690.wav=All marriages are happy. It's living together afterwards that is difficult. @749316
trip\06\02691.wav=Marriage is not a word -- it's a sentence.@749800
trip\06\02692.wav=Marriage is like a hot bath. Once you get used to it, it's not so hot.@750224
trip\06\02693.wav=Heh heh...@750588
trip\06\02694.wav=Just kidding. @750736
trip\06\02695.wav=Oh god, let's not talk about relationship stuff tonight... @751016
trip\06\02696.wav=can we do that?@751368
trip\06\02697.wav=Oh Jesus let's not bring up unhappy relationships and stuff tonight... @751692
trip\06\02698.wav=can we do that?  @752100
trip\06\02699.wav=Thank you.@752264
trip\06\02700.wav=Ha ha ha!  Oh I think we're going to need some drinks first if we're going to talk about sex.@752580
trip\06\02701.wav=Ha ha ha!  Oh I think we're going to need a few more drinks if we're going to talk about sex.@753232
trip\06\02702.wav=Brr, I'm going to have to turn up the thermostat if we're going to talk about sex.@753864
trip\06\02703.wav=Uhh... As Grace likes to say, I'm not in the mood to talk about sex tonight.@754452
trip\06\02704.wav=yeah, I don't know, you're -- you're in a weird mood tonight...@754952
trip\06\02705.wav=Heh heh, that's not exactly a, a -- a topic you want to joke around about... @755464
trip\06\02706.wav=geez, you're in some kind of weird mood tonight...@755964
trip\06\02707.wav=Let's, uh, keep things happy, okay?  Tonight's supposed to be fun.@756392
trip\06\02708.wav=Oh... you know our wedding picture is the first thing everyone notices when they enter the room.@756940
trip\06\02709.wav=Well, heh, yeah...@757432
trip\06\02710.wav=Oh, Christ...!@757600
trip\06\02711.wav=Oh, heh, I -- I love how everyone always notices our wedding picture!@757884
trip\06\02712.wav=Well, Grace, you look beautiful in that picture!@758348
trip\06\02713.wav=Yeah, you know, uh,@758644
trip\06\02715.wav=Grace's decorating has been such a great outlet for her.@758928
trip\06\02716.wav=And I'm always encouraging her to buy new stuff... @759344
trip\06\02717.wav=the latest trend... only the best for us, right Grace?  Ha ha.@759768
trip\06\02718.wav=Yeah, @760100
trip\06\02720.wav=if there's, uh, one thing Grace is really passionate about, it's her decorating...@760384
trip\06\02721.wav=No it's a real creative thing for you, it's really great, you get so into it --@760992
trip\06\02722.wav=Oh, you'll never guess where I took that picture.@761488
trip\06\02723.wav=I'll tell you about it in a sec.@761844
trip\06\02724.wav=Oh, yeah, yeah, uh,@762072
trip\06\02725.wav=I have to tell you about our recent trip to Italy!@762360
trip\06\02726.wav=Y -- yeah, yeah, I'll tell you about it in a sec.@762740
trip\06\02727.wav=Makes you feel like you're in an art museum.@763136
trip\06\02728.wav=What, I thought you'd like that...!@763460
trip\06\02729.wav=Into them?  You love your sculptures so much I'm not even allowed to touch them!@763884
trip\06\02730.wav=Heh, anyhow, @764300
trip\06\02731.wav=Grace is infatuated with them.@764520
trip\06\02734.wav=Well I know a good investment when I see it.@764844
trip\06\02735.wav=Well, heh, I don't know what the hell it is, so it must be good, heh!  @765256
trip\06\02736.wav=heh heh...@765624
trip\06\02737.wav=Heh.@765744
trip\06\02738.wav=Oh, heh, that brass bull, that's a -- a gift from my business contact in Barcelona --@766044
trip\06\02739.wav=Uh, yeah,  I will, later, after our friend leaves.@766560
trip\06\02740.wav=Oh, uh, that brass bull, heh heh, I love that, is -- isn't that cool?  It's a, uh, it's a business gift --@767052
trip\06\02741.wav=I know, alright, I'll get rid of it later, geez.  @767664
trip\06\02742.wav=Oh, yeah, let me fix us all some drinks in a sec!@768068
trip\06\02743.wav=Oh, yeah, uh, I'm gonna fix us some drinks in a sec!@768468
trip\06\02744.wav=Oh, yeah, uh, I'm gonna fix us some drinks in a sec!@768880
trip\06\02745.wav=Oh, yeah, uh, I'm gonna fix us some drinks in a sec!@769292
trip\06\02746.wav=Oh that -- oh, that's just a little joke advice giver toy thing that I like to consult now and then...@769816
trip\06\02747.wav=when I need a little guidance.  Ha ha.@770392
trip\06\02748.wav=Stocking stuffer. @770656
trip\06\02749.wav=N -- no it's just one of those little joke advice toys, you know.@770956
trip\06\02750.wav=It's a toy, I'm allowed to have a toy.@771376
trip\06\02751.wav=Ah, yeah, this is some kind of amazing view.  I never get tired of looking at it.@771788
trip\06\02752.wav=Ah, yeah, yeah, this view makes you feel on top of the world...@772316
trip\06\02753.wav=Yeah.@772652
trip\06\02762.wav=Wow Grace, heh heh, you sure are getting your share of praise tonight!@772900
trip\06\02763.wav=Jesus you are just full of good things to say tonight!@773396
trip\06\02764.wav=Oh, ha ha, I --@773704
trip\06\02765.wav=Oh, ha ha, well -- @773864
trip\06\02767.wav=Ha ha, you're really trying to get on Grace's good side tonight, aren't you?  heh...@774196
trip\06\02768.wav=He's just probably teasing you, Grace.@774693
trip\06\02769.wav=She's just probably teasing you, Grace.@775008
trip\06\02770.wav=Ha ha ha, maybe he doesn't mean that Grace.@775340
trip\06\02771.wav=Ha ha, well maybe she doesn't mean that Grace.@775700
trip\06\02772.wav=He's probably just joking around...!@776040
trip\06\02773.wav=She's probably just joking around...!@776344
trip\06\02774.wav=w - what's the deal?@776608
trip\06\02775.wav=You know, we didn't invite you over here to hear that...@776884
trip\06\02776.wav=No no, no no, it's uh, it's fine, it's fine...@777280
trip\06\02777.wav=what --@777552
trip\06\02778.wav=You know, I -- I was hoping we could keep things positive tonight...  you know?@777820
trip\06\02779.wav=It's fine... it's okay...@778260
trip\06\02780.wav=Okay look, it was barely funny the first time you flirted with Grace --@778600
trip\06\02781.wav=Yeah, yeah yeah, yeah, fun.@779004
trip\06\02782.wav=Whoa whoa, I believe that's the second time tonight you've flirted with Grace.@779364
trip\06\02783.wav=Well excuse me, I'm having trouble finding the humor in it.@779896
trip\06\02784.wav=Maybe it's just me...@780260
trip\06\02785.wav=Grace, he's only playing around --@780480
trip\06\02786.wav=Grace, she's only playing around --@780756
trip\06\02787.wav=It's a joke.@781008
trip\06\02788.wav=What? Grace, no --@781164
trip\06\02789.wav=He's just kidding!  It's a joke.@781388
trip\06\02790.wav=She's just kidding!  It's a joke.@781672
trip\06\02791.wav=Oh, that's nice Grace, I think a hug was just what you needed.@782032
trip\06\02792.wav=Wow Grace you sure are getting your share of affection tonight!@782516
trip\06\02793.wav=Oh, ha ha, I --@782860
trip\06\02794.wav=Oh, ha ha, well --@783020
trip\06\02796.wav=Uhh, heh, you keep trying to pacify us... @783248
trip\06\02797.wav=we're fine!@783532
trip\06\02798.wav=What?  Hey, there's nothing... @783700
trip\06\02799.wav=y - you keep... @783924
trip\06\02800.wav=I -- I don't... @784088
trip\06\02801.wav=no, no no no, everything's okay... @784312
trip\06\02802.wav=What?  Hey, no, th -- there's nothing... @784600
trip\06\02803.wav=look, y - you keep... @784876
trip\06\02804.wav=no, everything's okay, seriously...! @785128
trip\06\02805.wav=Yeah, yeah, good, we're -- we're friends...@785440
trip\06\02806.wav=Yeah, yeah, r  - right, good, yeah, uh, yeah we're -- we're friends...@785812
trip\06\02807.wav=God, what is it with you and divorce tonight?  What's the deal?@786336
trip\06\02808.wav=Oh bullshit.  Heh.@786704
trip\06\02809.wav=What?  The -- the garbage?@786904
trip\06\02810.wav=Yeah.@787092
trip\06\02811.wav=What?  The d - dry cleaning?@787236
trip\06\02812.wav=Yeah.@787432
trip\06\02813.wav=What?  The cleaning woman?@787584
trip\06\02814.wav=Yeah.@787772
trip\06\02815.wav=Uhh, @787872
trip\06\02816.wav=come on, what are you bringing this up again for?  @788076
trip\06\02817.wav=The last time the topic of infidelity came up at a party, two of our friends ended up divorced.  @788620
trip\06\02818.wav=So let's not go there...@789140
trip\06\02819.wav=See -- see, Grace, people can't help noticing our wedding picture! @789460
trip\06\02820.wav=Grace, I happen to think we look very happy in this picture, alright?  @789972
trip\06\02821.wav=Okay.@790344
trip\06\02822.wav=See Grace, people can't stop talking about your decorating!@790588
trip\06\02823.wav=Okay... shh, shh...@790920
trip\06\02824.wav=Yeah, yeah, I've got to tell you about Italy!@791180
trip\06\02825.wav=Dammit Grace, would it kill you to be positive for once?  God.  @791608
trip\06\02826.wav=More like obsessed...@791988
trip\06\02830.wav=That's an odd thing to say for someone who claims to like art, heh heh.@792300
trip\06\02831.wav=Jesus, Grace, it was a gift, and an expensive one at that!@792828
trip\06\02832.wav=Yes, I'll get rid of it.@793196
trip\06\02833.wav=Yeah, hang on, ooh, I'm going to make you one of my fabulous drinks in just a minute, heh!@793576
trip\06\02834.wav=What?  It's a hilarious little bar toy.@794116
trip\06\02835.wav=Ah, yeah, this view cost us a pretty penny, I'll tell you that.@794492
trip\06\02844.wav=would you quit it with that already, you're such a suck up!@798064
trip\06\02845.wav=would you quit it with that already, it's making me ill!@798536
trip\06\02846.wav=Okay, that's cool, everyone is entitled to their opinions, it's a free country.  @799052
trip\06\02847.wav=Right, okay, I see how it is.  That's fine.  Heh.@799556
trip\06\02848.wav=either you think I have a really really good sense of humor, or you think I'm a complete idiot.  @800044
trip\06\02849.wav=One of the two.@800552
trip\06\02850.wav=you're either playing a really funny joke on me, or playing me for a fool.  @800856
trip\06\02851.wav=One of the two.@801280
trip\06\02852.wav=Uhh...@801420
trip\06\02853.wav=Uhh...@801524
trip\06\02854.wav=Uhh...@801628
trip\06\02855.wav=it's not that I don't want to talk about divorce... @801860
trip\06\02856.wav=well, no, come to think of it, I don't want to talk about divorce. @802320
trip\06\02857.wav=I don't want to hear this, I'm not listening!  New topic please!  @802828
trip\06\02858.wav=Goddammit, you are just obsessed with this wedding picture!  @803324
trip\06\02859.wav=quit it, just drop the whole goddamn Italy thing already. @803804
trip\06\02860.wav=Jesus, if I wanted to talk about work so much tonight, I'd have invited you to our team meeting Monday morning!  @804404
