grace\01\00009.wav=Adam, @14316
grace\05\02339.wav=Yeah, yeah...@657704
grace\05\02340.wav=Yeah, yeah. @657856
grace\05\02341.wav=Yeah. @657996
grace\05\02342.wav=Yeah, yeah! @658120
grace\05\02343.wav=Ha ha ha, yeah! @658272
grace\05\02344.wav=Yeah! @658428
grace\05\02345.wav=Hmm... @658532
grace\05\02346.wav=Oh, okay...  @658652
grace\05\02347.wav=You don't agree... @658817
grace\05\02348.wav=What...?  @658980
grace\05\02349.wav=Okay...  @659108
grace\05\02350.wav=If that's how you feel...  @659268
grace\05\02351.wav=well... @659464
grace\05\02352.wav=uh... @659576
grace\05\02353.wav=um... @659684
grace\05\02354.wav=Mmm... @659792
grace\05\02355.wav=Mmm... @659904
grace\05\02356.wav=Mmm... @660016
grace\05\02357.wav=um... @660128
grace\05\02358.wav=um... @660236
grace\05\02359.wav=uh... @660340
grace\05\02360.wav=uh... @660444
grace\05\02361.wav=Huh... well, yeah, hold on, um...  @660596
grace\05\02362.wav=Uh, mmm, well, hold -- hold on.  @660868
grace\05\02363.wav=Mmm... well, hold on.   @661116
grace\05\02364.wav=Um, well, hold on, I was going to say...  @661372
grace\05\02365.wav=Mmm... well hold on a sec...  @661672
grace\05\02366.wav=Um, well, hold on, hold on... @661928
grace\05\02367.wav=Hold on, let me finish.  @662184
grace\05\02368.wav=Well, wait, wait.  I -- I was trying to say...  @662444
grace\05\02369.wav=Okay, well hold on a second.  @662784
grace\05\02370.wav=Can I finish?  @663016
grace\05\02371.wav=Wait, let me finish, alright? @663224
grace\05\02372.wav=Okay...  well...  @663444
grace\05\02373.wav=Oh, hmm... well, hold on... @663632
grace\05\02374.wav=Well h -- hold on, h -- hold on... @663880
grace\05\02375.wav=Oh, well, hold on... @664132
grace\05\02376.wav=Oh, hmm... well, hold on... @664332
grace\05\02377.wav=Well h -- hold on, hold on... @664576
grace\05\02378.wav=Oh, well, hold on... @664808
grace\05\02379.wav=Oh, hmm... well, hold on... @665008
grace\05\02380.wav=Well hold on, hold on... @665248
grace\05\02381.wav=Oh, well, hold on... @665460
grace\05\02382.wav=Oh! well... thanks --@665652
grace\05\02383.wav=Oh! huh... thanks...@665836
grace\05\02384.wav=Oh... well... @666008
grace\05\02385.wav=That's kind of you, I'm sure Trip's happy to hear that.@666280
grace\05\02386.wav=How nice of you to say that.  Isn't it good to see our friend after so long?@666764
grace\05\02387.wav=Ah it's good to see you two getting along so well.  @667264
grace\05\02388.wav=careful, too many compliments can go to Trip's head...@667696
grace\05\02389.wav=What...?@668000
grace\05\02390.wav=Ha ha... yeah...  I think Trip enjoyed that a little too much.@668224
grace\05\02391.wav=What?!@668560
grace\05\02392.wav=I'm so ready for a drink.@668716
grace\05\02393.wav=I'm so ready for another drink.@668960
grace\05\02394.wav=Trip, Trip, it's alright, our friend is just giving you a bit of a hard time tonight, you're a man, you can take it.  @669444
grace\05\02396.wav=Trip, that was just a well-intentioned little poke in the ribs between friends, that's all.@670516
grace\05\02397.wav=you know I love it when you flirt with me.@671056
grace\05\02398.wav=you know that flirting with me is only going to make me wish I married you instead of Trip.@671520
grace\05\02399.wav=when did you become such a flirt?@672048
grace\05\02400.wav=Ha ha ha,@672268
grace\05\02401.wav=it's so funny how you like to flirt with me...@672488
grace\05\02402.wav=Ha ha ha,@672760
grace\05\02403.wav=I forgot what a flirt you are!@672944
grace\05\02404.wav=I think you're flirting with me to get on my good side.@673268
grace\05\02405.wav=That's funny, @673596
grace\05\02406.wav=I'd guess you were flirting with me, heh.@673808
grace\05\02407.wav=you're flirting with me.@674104
grace\05\02408.wav=Oh,@674280
grace\05\02409.wav=how funny, you're flirting with me.@674444
grace\05\02410.wav=No she's just... trying to get on your good side tonight, Trip.@674804
grace\05\02411.wav=No, she's just telling you what you want to hear, Trip.@675256
grace\05\02412.wav=And she hasn't even started drinking yet.@675660
grace\05\02413.wav=Trip, don't get too excited -- she's just being friendly.@676036
grace\05\02414.wav=She obviously can't handle her alcohol.@676440
grace\05\02415.wav=Oh Trip, take it easy, he's just joking around.@676776
grace\05\02416.wav=Oh, Trip, relax, he's just trying to lighten you up.@677160
grace\05\02417.wav=Since when have you two started flirting with each other?@677568
grace\05\02418.wav=It's a good thing you guys go way back, or I'd worry you were flirting with each other.@678044
grace\05\02419.wav=Oh! ha ha ha, you're hugging me!@678516
grace\05\02420.wav=Oh! you're hugging me, ha ha ha...@678768
grace\05\02421.wav=Oh, uh, thanks -- thanks for the hug...@679048
grace\05\02422.wav=Oh, thanks, uh, for the hug...@679332
grace\05\02423.wav=Oh! uh, @679536
grace\05\02424.wav=thanks...@679660
grace\05\02425.wav=Oh! @679776
grace\05\02426.wav=uh, thanks...@679888
grace\05\02427.wav=Oh, uh, @680024
grace\05\02428.wav=that was nice of you...@680184
grace\05\02429.wav=Oh, @680356
grace\05\02430.wav=uh, that was nice of you...@680504
grace\05\02443.wav=That's kind of you, I'm sure Trip's happy to get that.@680824
grace\05\02444.wav=How nice of you.  Isn't it good to see our friend after so long?@681268
grace\05\02447.wav=What?  No, we're fine, everything's fine... @681696
grace\05\02448.wav=What do you...  No, we're -- we're fine, everything's fine... @682072
grace\05\02449.wav=What?  No, I, I'm -- I'm fine, we're fine, everything's fine... @682524
grace\05\02450.wav=What do you...  No, we're -- we're fine, everything's fine... @682980
grace\05\02453.wav=Trip... @683324
grace\05\02454.wav=Oh, Trip, that's not funny.  God.@683504
grace\05\02456.wav=Trip, no, that's not funny.  Come on.@683804
grace\05\02459.wav=Oh, no, you were never the kind of person into self-help and therapy and counseling...  @684240
grace\05\02460.wav=I hear so much about that kind of thing, it depresses me!@684812
grace\05\02461.wav=Well, geez, how could they miss it?@685192
grace\05\02462.wav=You know I don't think it really goes with this room anymore.@685548
grace\05\02463.wav=Yes, it's probably Trip's favorite object in the room, besides the bar.@686056
grace\05\02464.wav=You know I don't think it really goes with this room anymore.@686564
grace\05\02465.wav=Outlet?  What do you mean outlet?@686956
grace\05\02467.wav=What?  Uh, pssh, @687192
grace\05\02468.wav=don't listen to him, it's just a hobby, really --@687464
grace\05\02469.wav=No Trip there are things I am much more passionate about than decorating, believe me. @687948
grace\05\02470.wav=Ha ha ha, geez.@688392
grace\05\02471.wav=Is this really something you want to brag about, Trip?@688664
grace\05\02472.wav=Trip, he doesn't want to hear --@689028
grace\05\02473.wav=Trip, she doesn't want to hear --@689308
grace\05\02474.wav=Oh, I've been, uh, collecting these sculptures for a while now...@689656
grace\05\02475.wav=Trip, no --@690012
grace\05\02476.wav=Oh, do you like those sculptures?  I used to be so into, uh, collecting them...@690308
grace\05\02477.wav=Trip, your poker buddies used them as ashtrays!@690828
grace\05\02478.wav=These days, no, I'm not.@691152
grace\05\02485.wav=Oh that new painting, yes, well,  I'm trying to decide if I like it...@691480
grace\05\02486.wav=Oh, yeah, that new painting, I just put it up this week...  It's...@691980
grace\05\02487.wav=What is it doing out here?  Didn't I ask you to put that away?@692480
grace\05\02488.wav=Trip, I've asked you to do something with that bull, I don't want it in this room, you know that.@693032
grace\05\02490.wav=His mother gave that to him.@693912
grace\05\02491.wav=Oh, that plastic ball is Trip's little security blanket he keeps by the bar.@694308
grace\05\02492.wav=He's always playing with it, drives me crazy.@694788
grace\05\02493.wav=Ugh, I need to call building maintenance to wash these windows.@695208
grace\05\02494.wav=Except for the other twenty three floors above us, Trip.@695680
grace\05\02498.wav=Trip, be careful of your thoughts, they may become words at any moment.@696152
grace\05\02499.wav=Trip, there is nothing wrong in having nothing to say, unless you insist on saying it. @696700
grace\06\02501.wav=Trip, better to understand little than to misunderstand a lot.@697288
grace\06\02503.wav=Trip, you can pretend to be serious you can't pretend to be funny.@697788
grace\06\02504.wav=Oh, that's --@698152
grace\06\02505.wav=Oh, @698284
grace\06\02506.wav=Ah you seem to remember how much Trip likes compliments.@698524
grace\06\02507.wav=Well you're really good at saying what Trip wants to hear.@698964
grace\06\02508.wav=I don't... what --@699304
grace\06\02509.wav=what --@699464
grace\06\02510.wav=Trip, he's probably just kidding around --@699660
grace\06\02511.wav=Trip, she's probably just kidding around --@700000
grace\06\02512.wav=Okay, alright, he hears you. @700304
grace\06\02513.wav=Okay, alright, she hears you. @700556
grace\06\02514.wav=Trip, heh heh, he's probably just joking --@700836
grace\06\02515.wav=Trip, heh heh, she's probably just joking --@701172
grace\06\02516.wav=Trip, you're totally overreacting.@701504
grace\06\02517.wav=It's alright Trip.  He's just having a little fun, that's all.@701872
grace\06\02518.wav=It's alright Trip.  She's just having a little fun, that's all.@702356
grace\06\02519.wav=Trip Trip Trip, he's just playing around.  It's funny, that's all --@702832
grace\06\02520.wav=Trip Trip Trip, she's just playing around.  It's funny, that's all --@703332
grace\06\02521.wav=Oh my God, @703708
grace\06\02522.wav=this flirting with Trip is getting a little extreme, even for you.@703996
grace\06\02523.wav=I don't know, this is just... weird.@704416
grace\06\02524.wav=Okay, okay... it's a joke.@704688
grace\06\02525.wav=what the hell has gotten into you tonight?  Should I leave you two alone to keep flirting?@705072
grace\06\02527.wav=No, I don't want to get in the way...@705596
grace\06\02528.wav=Okay, a joke.@705848
grace\06\02529.wav=Oh, that's --@705996
grace\06\02530.wav=Oh, @706128
grace\06\02531.wav=Oh, well... you seem to remember how much Trip likes getting attention.@706392
grace\06\02532.wav=Well you're really affectionate tonight, aren't you.@706884
grace\06\02533.wav=Uhh, it's okay, you're trying to pacify us... @707268
grace\06\02534.wav=we're okay, we're fine!@707592
grace\06\02535.wav=What?  Hey, no, there's nothing... @707816
grace\06\02536.wav=you keep... @708052
grace\06\02537.wav=I don't... @708196
grace\06\02538.wav=no, everything's fine... @708376
grace\06\02539.wav=What?  Hey, no, there's nothing... @708616
grace\06\02540.wav=you keep... @708852
grace\06\02541.wav=no, everything's fine, okay? @709048
grace\06\02542.wav=Oh, okay, good, we're friends...@709316
grace\06\02543.wav=Oh, okay, good, we're friends... @709596
grace\06\02544.wav=If I knew we were going to talk about marriage tonight, I'd have stayed in bed.@709984
grace\06\02545.wav=If I knew we were going to talk about marriage tonight, I'd have worked late at the office.@710576
grace\06\02546.wav=Well you know half of all marriages end in divorce these days.@711172
grace\06\02547.wav=Hey -- @711500
grace\06\02548.wav=wait -- @711616
grace\06\02549.wav=did you -- @711744
grace\06\02550.wav=did you take out the garbage, liked I asked you to?@711988
grace\06\02551.wav=Yes, did you take out the garbage under the kitchen sink?@712408
grace\06\02552.wav=Okay, good, I just thought of that, that's good, I just wanted to make sure.@712900
grace\06\02553.wav=Hey -- @713284
grace\06\02554.wav=uh -- @713392
grace\06\02555.wav=did you -- @713512
grace\06\02556.wav=did you pick up my dry cleaning?@713704
grace\06\02557.wav=Yes, did you pick up my dry cleaning this morning, like I asked you to?@714080
grace\06\02558.wav=Okay, good, I just didn't want you to forget that.@714576
grace\06\02559.wav=Wait -- @714864
grace\06\02560.wav=hey -- @714976
grace\06\02561.wav=did you -- @715100
grace\06\02562.wav=did you remember to call the cleaning woman, to have her come over tomorrow morning?@715412
grace\06\02563.wav=Yes, I had asked you to call the cleaning service, for tomorrow?@715976
grace\06\02564.wav=Oh, alright, good, I just wanted to make sure you hadn't forgotten that.@716492
grace\06\02565.wav=Oh God, please, no talk about therapy or counseling or self-help, you hear about that so much these days, it's depressing!@717156
grace\06\02567.wav=Uhh, @717724
grace\06\02568.wav=why do you keep bringing this up tonight?  @717916
grace\06\02569.wav=Anyway, what were we saying?@718220
grace\06\02570.wav=Trip, relax...@718444
grace\06\02571.wav=Trip, it's just furniture, okay?  This apartment is not my life, you know.  @718764
grace\06\02572.wav=Trip we don't want to depress our guest.@719248
grace\06\02573.wav=Oh, God, it's hard to believe I used to like these damn sculptures...@719644
grace\06\02574.wav=I was not obsessed, I was just...  @720096
grace\06\02575.wav=I don't know.@720340
grace\06\02577.wav=Oh god, let's not talk about this painting.@720572
grace\06\02578.wav=it's amazing how two people can look at the exact same thing and see something totally different.@721060
grace\06\02579.wav=Dammit, Trip, you know I can't stand the sight of that goddamn bull, I want it out of --@721748
grace\06\02580.wav=I don't want anything from Barcelona in this apartment...@722336
grace\06\02581.wav=Uhh, @722644
grace\06\02582.wav=please don't encourage him.@722796
grace\06\02583.wav=You know Trip, that little  advice ball of yours doesn't look good on the bar.@723180
grace\06\02584.wav=It's lame.  It's a crappy piece of plastic sitting next to your fancy crystal cocktail glasses.@723828
grace\06\02585.wav=Maybe you'd have preferred a view overlooking your bank account, hmm?@724440
grace\06\02590.wav=stop that, it's embarrassing already, God!@725820
grace\06\02591.wav=we get the point, you can stop it with the praise already!@726224
grace\06\02592.wav=Well this has turned into such a pleasant evening.  God.@726668
grace\06\02593.wav=I'm really enjoying this get together, really, I am.  @727092
grace\06\02594.wav=either you think I have a really really good sense of humor, or you think I'm a complete idiot.  One of the two.@727644
grace\06\02596.wav=you're either playing a really funny joke on me, or playing me for a fool.  @728336
grace\06\02597.wav=One of the two.@728760
grace\06\02598.wav=Uhh...@728900
grace\06\02599.wav=Uhh...@729004
grace\06\02600.wav=Uhh...@729108
grace\06\02601.wav=if you're going to talk about marriage all night, do it around some single people.@729416
grace\06\02602.wav=God, @729832
grace\06\02603.wav=you've got a one-track mind tonight.@730024
grace\06\02604.wav=I'm not the one bringing this up all the time, you are!@730368
grace\06\02606.wav=Okay?  You've obviously got some kind of hang up here... @730796
grace\06\02607.wav=Argh, I don't want to talk about my apartment anymore!  @731268
grace\06\02608.wav=No, no, no more about my sculptures, you're going to drive me crazy.  @731740
grace\06\02609.wav=please, this is not the time or place to have a discussion about art, I'm sorry.@732292
grace\06\02610.wav=If I hear one more reference to alcohol tonight, I'm going to be worshipping the porcelain god.  @732932
grace\06\02611.wav=Suddenly I pine for a basement apartment in Queens.@733552
grace\06\02655.wav=Thanks.@182816
grace\06\02656.wav=Okay, thanks.@182948
grace\06\02657.wav=Thanks.@183092
grace\06\02658.wav=Thank you.@183216
grace\06\02659.wav=Thanks.@183348
grace\06\02660.wav=Thank you.@183472
grace\06\02661.wav=Mmm, it's good.@183620
grace\06\02662.wav=It tastes good.@183796
grace\06\02663.wav=It's good.@183956
grace\06\02664.wav=What happened?@184104
grace\06\02665.wav=What, what happened?@184280
grace\06\02666.wav=What was that?@184472
grace\06\02667.wav=Uhh, Trip, just take it easy, you get so worked up when you're making drinks.@184776
grace\06\02668.wav=Uhh, Trip, try not to get so worked up when you make drinks, it's alright...@185328
grace\06\02669.wav=Uhh, Trip, relax, try not get so stressed out when you make drinks.@185868
grace\06\02670.wav=What?@186224
grace\06\02671.wav=You what?@186340
grace\06\02672.wav=You spend so much time keeping that bar fully stocked --@186588
grace\06\02673.wav=You say you always keep that bar fully stocked --@187004
grace\06\02674.wav=Oh I don't want anything.@187344
grace\06\02675.wav=No I don't want anything.@187592
grace\06\02676.wav=No, nothing for me.@187812
grace\06\02677.wav=I'm fine, I don't want anything.@188040
grace\06\02678.wav=You know, something I was thinking of --@188320
grace\06\02679.wav=You know, I was thinking to myself --@188636
grace\06\02680.wav=Trip, Jesus, I can't hear myself think!@188952
grace\06\02681.wav=Trip, God, do you have to do that?@189260
grace\06\02682.wav=Trip, what is your fascination with that stupid toy...?@733976
grace\06\02683.wav=Trip, would you put that thing away, it's ridiculous.@734408
grace\06\02684.wav=Trip, would you put away that goddamn toy, you're driving me crazy.@734856
grace\06\02685.wav=Trip, are you going to carry that thing around all evening?@735332
grace\06\02686.wav=Trip, uhh, either you get rid of that thing, or I will.@735760
grace\06\02687.wav=Oh God, Trip, if I have to hear that thing one more time, I'm going to go insane, please!@736252
grace\06\02688.wav=N - no, Trip can get overly obsessed.@736772
grace\06\02689.wav=Yeah -- yes, well, Trip can get overly obsessed.@737104
grace\06\02690.wav=Well -- well, Trip can get overly obsessed.@737472
grace\06\02691.wav=Well, we're all friends here...@737780
grace\06\02692.wav=Huh, you two really are getting along well tonight, heh...@738092
grace\06\02693.wav=Huh, I think I forgot how well you two get along...@738496
grace\06\02694.wav=Well... it didn't take long for you two to...  bond, or whatever...@738924
grace\06\02695.wav=Okay, well, I was worried there for a bit you were on Trip's side tonight, ha ha.@739436
grace\06\02696.wav=Okay, well, you and I are getting along better tonight than I first thought!@739996
grace\06\02697.wav=Alright, good, maybe you're on my side tonight after all, ha ha.@740512
grace\06\02698.wav=um... oh God... @740868
grace\06\02699.wav=I'm sorry, I must be kind of distracted tonight or something...  @741168
grace\06\02700.wav=there's so much going on...  anyway...@741580
grace\06\02701.wav=uhh...  oh god... @741828
grace\06\02702.wav=I'm kind of distracted tonight I think... @742076
grace\06\02703.wav=it's not your fault, it's me...  @742392
grace\06\02704.wav=I think you forgot to mention that I'm the lead designer on this project. @742772
grace\06\02705.wav=Trip's quite the jet-setter alright, ha ha.@743244
grace\06\02706.wav=I never know where he's going or what he'll come back with. Like that tacky bull - a 'present' from our current client.@743764
grace\06\02707.wav=I never know where he's going or what he'll come back with. Like that tacky bull...@744496
grace\06\02708.wav=Oh, yeah, let me tell you about work! I'm the lead designer on a new project.@745080
grace\06\02709.wav=Trip's job is to use his 'charm' to woo the female clients. I suppose that's how he won this client.@745713
grace\06\02710.wav=Oh, yeah, let me tell you about work! I'm the lead designer on a new project.@746364
grace\06\02711.wav=Yes, Trip has a very persuasive way about him. He's a real charmer.@746908
grace\06\02712.wav=Oh god, don't bring up college...@747320
grace\06\02713.wav=Oh work,  ha ha.  Well, I've been working on some new concept drawings.@747672
grace\06\02714.wav=What I'm trying to do is...@748088
grace\06\02715.wav=Trip, you never want to listen to me.  He listens to the damn client more than me.@748480
grace\06\02716.wav=I think you forgot to mention that I'm the lead designer on this project. @749056
grace\06\02717.wav=Trip's quite the jet-setter all right, heh heh heh.@749532
grace\06\02718.wav=I never know where he's going or what he'll come back with. Like that tacky bull - a 'present' from our current client.@750084
grace\06\02719.wav=I never know where he's going or what he'll come back with. Like that tacky bull...@750816
grace\06\02720.wav=Oh, yeah, let me tell you about work! I'm the lead designer on a new project, heh.@751404
grace\06\02721.wav=Trip's job is to use his 'charm' to woo the female clients. I suppose that's how he won this client.@752056
grace\06\02722.wav=Just the other day you got back from yet another business trip to meet with, oh, what's her name? Who was it this time?@752796
grace\06\02723.wav=Oh please.@753364
grace\06\02724.wav=You don't need to travel that much.@753568
grace\06\02725.wav=Uhh!@753788
grace\06\02726.wav=Oh -- uh, work, ha ha ha!  Well, I -- I've been working on some new concept drawings.@754036
grace\06\02727.wav=What I'm trying to do is...@754508
grace\06\02728.wav=Trip, you never want to listen to me.  He listens to the damn client more than me.@754900
grace\06\02730.wav=Uhh, you are impossible...!@755820
grace\06\02731.wav=Ahh, I'm going to go crazy!@756060
grace\06\02732.wav=Oh God, I can't take anymore of this!@756336
grace\06\02733.wav=Uhh, you are impossible...!@756616
grace\06\02734.wav=Ahh, you're going to make me go crazy!@756880
grace\06\02735.wav=Oh God, you -- you're -- uhh, I don't know if I can take anymore!@757236
grace\06\02736.wav=Ahh, no, I'm the one going insane!@757644
grace\06\02737.wav=Ahh, no, you're full of shit!@757912
grace\06\02738.wav=Ahh, no, I can't take this!@758160
grace\06\02739.wav=I'm never happy...@758376
grace\06\02740.wav=Basement apartment in Queens...@758616
grace\06\02741.wav=You're so good at it... So good at it...@758900
grace\06\02742.wav=No one is complaining...@759192
grace\06\02743.wav=As if you could survive...@759416
grace\06\02744.wav=You're the only one unhappy...@759660
grace\06\02745.wav=I'm trying to embarrass you...@759920
grace\06\02746.wav=Your big bartender secret...@760184
grace\06\02747.wav=Your goddamn drink inventions...@760452
grace\06\02748.wav=Your goddamn sports bar...@760728
grace\06\02749.wav=Our anniversary wine!@760952
grace\06\02750.wav=Obsessed with Europe...@761168
grace\06\02751.wav=Goddamn second honeymoon...@761408
grace\06\02752.wav=Goddamn romance...@761640
grace\06\02753.wav=Thaw me out...@761812
grace\06\02754.wav=Romance... goddamn...@761992
grace\06\02755.wav=You and your damn parents...@762224
grace\06\02756.wav=Low class... God!@762444
grace\06\02757.wav=My goddamn parents...@762648
grace\06\02758.wav=What do my parents have to --@762880
grace\06\02759.wav=Your goddamn marriage proposal --@763156
grace\06\02760.wav=Every woman's dream...@763412
grace\06\02761.wav=Goddamn Christmas Eve!@763632
grace\06\02762.wav=Goddamn wedding picture...@763852
grace\06\02763.wav=That wedding picture...@764076
grace\06\02764.wav=Your keep things fresh...@764292
grace\06\02765.wav=Your goddamn brie...@764512
grace\06\02766.wav=God, all this... damn... praise...@764724
grace\06\02767.wav=So... damn... critical...@764984
grace\06\02768.wav=You... flirting with... Trip...@765208
grace\06\02769.wav=You... kissing... and...@765444
grace\06\02770.wav=You all keep trying to... pacify me...@765696
grace\06\02771.wav=Everybody is always so supportive...@766020
grace\06\02772.wav=Everyone tries to explain everything...@766328
grace\06\02773.wav=Uhh... acting so... vulgar...@766604
grace\06\02774.wav=Marriage, marriage, marriage...@766856
grace\06\02775.wav=Divorce, divorce...@767104
grace\06\02776.wav=Sex, sex, sex...@767304
grace\06\02777.wav=Infidelity... infidelity...@767524
grace\06\02778.wav=Goddamn... therapy...@767756
grace\06\02779.wav=God, that damn wedding picture...@767984
grace\06\02780.wav=That... damn... italy picture...@768252
grace\06\02781.wav=My damn work project...@768508
grace\06\02782.wav=That goddamn bull...!@768724
grace\06\02783.wav=That crappy plastic ball...@768948
grace\06\02784.wav=Uhh... this goddamn apartment...@769208
grace\06\02785.wav=This damn painting...@769456
grace\06\02786.wav=Your goddamn drinks....@769664
grace\06\02787.wav=My damn sculptures...@769880
grace\06\02788.wav=This goddamn view...@770088
grace\06\02804.wav=God, what did you say?@770296
grace\06\02805.wav=God, what was it you said?@770524
grace\06\02806.wav=I'm...@770712
grace\06\02807.wav=I'm not...@770832
grace\06\02808.wav=controlling...@770976
grace\06\02809.wav=controlled...@771136
grace\06\02810.wav=loving...@771280
grace\06\02811.wav=loved...@771408
grace\06\02812.wav=depressing...@771540
grace\06\02813.wav=depressed...@771692
grace\06\02814.wav=communicative...@771864
grace\06\02815.wav=afraid...@772020
grace\06\02816.wav=angry...@772148
grace\06\02817.wav=lying...@772268
grace\06\02818.wav=to blame...@772396
grace\06\02819.wav=We should...@772536
grace\06\02820.wav=We shouldn't...@772692
grace\06\02821.wav=get divorced...@772868
grace\06\02822.wav=separate...@773024
grace\06\02823.wav=go to therapy...@773184
grace\06\02824.wav=have more sex...@773360
grace\06\02825.wav=have kids...@773524
grace\06\02826.wav=get a pet...@773676
grace\06\02827.wav=I should...@773816
grace\06\02828.wav=I shouldn't...@773964
grace\06\02829.wav=make art...@774120
grace\06\02831.wav=quit my job...@774276
grace\06\02832.wav=kill my husband...@774452
grace\06\02833.wav=get revenge...@774636
grace\06\02834.wav=kill myself...@774804
grace\06\02835.wav=I...@774940
grace\06\02836.wav=Trip...@775044
grace\06\02837.wav=loves...@775164
grace\06\02838.wav=doesn't love...@775308
grace\06\02839.wav=am cheating...@775468
grace\06\02840.wav=is cheating...@775624
grace\06\02841.wav=am not cheating...@775792
grace\06\02842.wav=is not cheating...@775976
grace\06\02843.wav=My damn parents...@776172
grace\06\02844.wav=Trip's damn parents...@776376
grace\06\02845.wav=Goddamn Maria...@776576
grace\06\02846.wav=Vince...@776732
grace\06\02847.wav=Trip, our whole marriage, you're so... controlling!@776936
grace\06\02848.wav=Trip, you think you're so romantic... but no you're trying to manipulate me!@777396
grace\06\02849.wav=God, people trying to criticize me, tell me what to do, suppress me... it keeps happening!@777984
grace\06\02850.wav=How are we supposed to enjoy ourselves when you're always playing around with your drinks and cocktail shakers and your goddamn advice ball...!@778756
grace\06\02851.wav=How am I supposed to be happy and in love when you keep trying to act romantic and funny and all that bullshit?  How?@779688
grace\06\02852.wav=Don't you dare accuse me of being... sexually... un... when you treat me the way you do!@780428
grace\06\02853.wav=You don't think I could cut it as an artist!  Do you!  I know it, you don't think I can!@781048
grace\06\02854.wav=Trip, you always seem to think I am so fulfilled by decorating or something... it's just furniture!  @781696
grace\06\02855.wav=This apartment is not my life!  It's just furniture!@782308
grace\06\02856.wav=Trip, don't ever make another stupid comment about artists or paintings... you know nothing about art, believe me!@782868
grace\06\02857.wav=Trip, don't ever make another stupid comment about artists or sculptures... you know nothing about art, believe me! @783680
grace\06\02858.wav=Trip you want this apartment to look so high class but you carry around this piece of shit plastic ball everywhere!  God!@784516
grace\06\02859.wav=I'm stifled, Trip!  Artistically!  I need my life to have more feeling!  Can't you see that?@785284
grace\06\02860.wav=You keep trying to make our lives so shallow and fake!  I don't want to live a fake life, Trip!@785948
grace\06\02861.wav=Sometimes I feel like our whole marriage is just for show!  I don't know what you really feel!@786616
grace\06\02862.wav=Trip, all this stuff you do, you're just trying to make us look like we're some kind of perfect happy couple!  Like we're so happy!@787368
grace\06\02863.wav=You seem so embarrassed about yourself, about your family, for no good reason!  There's no reason!@788212
grace\06\02864.wav=You so desperately want to be high class!  So badly!@788796
grace\06\02865.wav=I wish you would just be yourself!  Ever since I've known you, you resist just being yourself!  @789292
grace\06\02866.wav=Trip, you don't love this painting... you love how everyone else supposedly loves it!  You don't love it.@789992
grace\06\02867.wav=Trip, you don't love these sculptures... you love how everyone else supposedly loves them.  You don't really care about them.@790776
grace\06\02868.wav=Trip, you don't love this decorating... you love how everyone else supposedly loves it!  You don't care about it!@791612
grace\06\02869.wav=You never... call me when you're on your business trips!  You never call me, you know that?@792332
grace\06\02870.wav=I'm getting really upset at this talk about cheating... This is not funny....  I'm getting really upset.@793004
grace\06\02871.wav=No, you only like the twenty one year old girlfriends of the fricking artists I keep inviting over!@793748
grace\06\02872.wav=Trip, I don't know how you manipulate people to fawn all over you!  I don't know how you do it!@794432
grace\06\02873.wav=You're always sending these subtle flirt signals!  You're always trying to get people turned on!@795112
grace\06\02874.wav=I can never talk about us with you!  It never works, we always fight!@795728
grace\06\02875.wav=Look, I don't know what you're hinting at, but I do not want to talk about our sex life! It's not up for discussion!@796368
grace\06\02876.wav=Okay, I see you obviously think we're all screwed up, that we've got issues, is that what you think?  We're all screwed up?@797164
grace\06\02877.wav=I hate this wedding picture!  I was miserable when it was taken, I hate it!@797904
grace\06\02878.wav=You're saying this is all my fault... that I caused all this from the moment we got engaged.  That's what you're saying.@798548
grace\06\02879.wav=Are you trying to say we've got problems?  Or I've got problems, that this is all my fault from the start?  Is that what you think?@799400
grace\06\02880.wav=And you...@800020
grace\06\02881.wav=Oh, and you...@800160
grace\06\02882.wav=Oh, @800296
grace\06\02883.wav=yeah...@800396
grace\06\02884.wav=I know what you're going to say, @800564
grace\06\02885.wav=I can predict what you'll say...@800844
grace\06\02886.wav=I can predict what you'll say...@801120
grace\06\02887.wav=Yeah, well...@801344
grace\06\02888.wav=You've been praising Trip ever since you got here!@801576
grace\06\02889.wav=You've been critical of me all evening!@801944
grace\06\02890.wav=You've been flirting with Trip ever since you got here!@802292
grace\06\02891.wav=With all your kissing and flirting... uh huh...@802672
grace\06\02892.wav=You keep trying to pacify me!@803008
grace\06\02893.wav=The way your keep acting so supportive...!@803296
grace\06\02894.wav=The way you keep trying to explain everything...!@803640
grace\06\02895.wav=You're so positive tonight, it's driving me crazy!@804032
grace\06\02896.wav=You're so negative tonight, it's depressing me!@804420
grace\06\02897.wav=You're so quiet tonight, God!@804756
grace\06\02898.wav=You're so uncooperative tonight, just calm down, God!@805080
grace\06\02899.wav=You're so obnoxiously vulgar tonight, God!@805472
grace\06\02900.wav=You and your praise for Trip...@805784
grace\06\02901.wav=You're pretty critical of me tonight.@806076
grace\06\02902.wav=You and your flirtations.@806364
grace\06\02903.wav=You and your kisses.@806592
grace\06\02904.wav=You and your attempts to pacify us...@806848
grace\06\02905.wav=The way you try so hard to be supportive.@807172
grace\06\02906.wav=You seem to want to somehow explain what's going on.@807540
grace\06\02907.wav=You and your fixation on marriage tonight!@807936
grace\06\02908.wav=You and your obsession with divorce!@808276
